O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation Monitoring,Operation and Control,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,major,minor,broad,detailed
11-9013.01,3.25,3.5,3.0,3.25,3.88,1.5,1.38,0.12,3.5,3.38,3.0,2.75,3.12,3.5,2.25,3.38,3.12,2.75,2.38,2.25,3.25,0.5,2.5,3.62,1.38,2.75,3.0,3.38,3.62,2.62,2.88,0.88,3.5,1.75,3.38,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
11-9013.02,3.5,3.5,3.5,3.88,4.12,2.5,2.5,0.12,3.12,3.88,3.38,3.62,3.5,3.12,3.75,3.75,3.75,3.12,2.88,2.25,3.62,0.62,3.0,3.75,2.25,2.5,2.62,3.25,3.75,3.38,3.38,1.0,3.75,2.38,3.5,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
11-9013.03,3.5,3.5,3.25,3.75,3.5,2.62,2.0,0.12,3.12,3.5,3.12,2.88,2.5,3.5,2.38,3.75,3.12,3.0,2.88,3.12,3.12,0.88,3.25,3.88,2.12,3.25,2.88,3.5,3.62,3.62,3.5,1.12,3.5,2.5,3.75,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
11-9021.00,3.88,4.0,3.88,4.25,4.0,0.0,0.25,0.0,3.5,4.0,3.5,4.0,4.0,4.0,3.75,4.12,4.0,3.0,2.12,3.62,3.88,0.62,3.12,4.0,0.0,2.25,3.0,3.88,4.0,3.88,3.88,1.25,4.0,2.25,4.0,Management Occupations,Other Management Occupations,Construction Managers,Construction Managers
11-9031.00,3.62,3.88,3.0,3.75,3.88,0.0,0.38,0.0,3.5,3.88,3.75,2.75,3.25,4.0,2.5,4.0,3.5,1.5,0.5,1.0,3.25,0.5,1.5,4.12,0.0,0.25,3.5,3.62,3.88,3.12,3.38,0.75,3.88,0.75,3.75,Management Occupations,Other Management Occupations,Education Administrators,"Education Administrators, Preschool and Childcare Center/Program"
11-9032.00,4.12,4.38,4.12,4.12,4.25,0.0,0.38,0.0,4.0,4.25,4.5,3.75,3.38,4.25,3.25,4.5,3.75,1.12,0.38,2.25,4.0,1.12,3.12,4.25,0.0,1.5,3.5,4.12,4.38,3.88,4.0,0.62,4.12,0.88,4.25,Management Occupations,Other Management Occupations,Education Administrators,"Education Administrators, Elementary and Secondary School"
11-9033.00,3.88,4.25,3.75,4.0,4.12,0.0,0.0,0.0,4.0,4.0,3.75,3.25,3.5,4.0,2.88,4.12,3.75,1.38,0.0,0.38,3.75,0.5,0.0,4.5,0.0,0.75,3.75,3.88,4.12,3.62,3.62,0.88,4.12,0.0,4.12,Management Occupations,Other Management Occupations,Education Administrators,"Education Administrators, Postsecondary"
11-9039.01,4.38,4.0,3.5,4.0,4.12,0.0,1.5,0.0,4.0,3.38,4.25,3.38,3.12,3.5,2.88,4.0,3.62,1.75,0.62,2.5,3.62,1.5,2.88,4.38,0.0,0.5,3.5,3.75,4.25,3.38,3.5,1.88,3.5,2.25,4.5,Management Occupations,Other Management Occupations,Education Administrators,"Education Administrators, All Other"
11-9041.00,4.25,4.12,4.12,4.12,4.25,0.0,0.5,0.5,3.5,4.25,3.38,3.38,3.25,4.0,3.75,4.12,4.0,2.62,1.5,1.88,3.88,1.38,3.12,4.38,0.5,2.38,3.38,3.75,4.12,3.5,3.25,1.62,4.0,1.88,4.12,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Architectural and Engineering Managers
11-9041.01,3.75,3.62,3.88,3.38,4.12,1.38,2.12,0.38,3.25,3.88,3.25,1.88,1.88,3.38,3.12,3.88,3.38,3.0,1.75,2.25,3.38,1.38,3.0,4.25,1.25,3.0,2.88,3.12,3.5,3.5,3.5,1.62,3.5,1.62,3.88,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,Architectural and Engineering Managers
11-9051.00,3.75,3.25,3.12,3.75,4.0,1.88,1.25,0.0,3.5,3.25,3.25,3.38,3.38,3.75,2.62,3.62,3.62,2.38,1.88,3.12,3.38,0.38,2.38,3.75,1.75,1.62,3.62,3.75,3.5,2.62,2.88,0.62,3.62,2.25,3.25,Management Occupations,Other Management Occupations,Food Service Managers,Food Service Managers
11-9061.00,3.0,3.62,3.0,3.25,3.62,0.0,0.0,0.0,3.38,3.12,3.0,2.75,2.75,3.5,2.62,3.62,3.38,2.12,1.88,0.62,3.62,0.75,2.0,3.75,0.0,0.38,4.0,3.62,3.88,2.62,2.62,0.75,3.62,1.12,3.62,Management Occupations,Other Management Occupations,Funeral Service Managers,Funeral Service Managers
11-9071.00,3.62,3.88,3.25,4.12,4.0,0.0,0.0,0.0,3.75,3.88,3.62,3.0,2.25,3.88,3.12,4.12,3.5,1.62,0.12,2.0,3.75,0.62,2.38,4.0,0.0,0.75,3.75,3.75,4.0,3.12,3.38,0.38,4.0,0.75,3.75,Management Occupations,Other Management Occupations,Gaming Managers,Gaming Managers
11-9081.00,3.75,4.0,3.38,3.88,4.0,1.88,1.88,0.0,3.62,3.62,3.62,4.12,3.88,3.88,3.12,4.25,3.75,2.12,2.0,1.12,3.75,0.62,2.5,4.0,1.75,0.0,4.0,3.88,4.0,3.25,3.75,0.75,3.88,1.88,4.0,Management Occupations,Other Management Occupations,Lodging Managers,Lodging Managers
11-9111.00,3.75,4.0,3.38,4.25,4.0,0.0,0.0,0.0,3.5,4.0,3.5,3.88,3.5,4.0,2.88,4.12,3.5,2.25,0.0,4.12,3.5,0.62,2.12,4.12,0.0,3.5,3.5,4.0,4.12,3.38,3.75,0.62,4.12,1.0,3.88,Management Occupations,Other Management Occupations,Medical and Health Services Managers,Medical and Health Services Managers
11-9121.00,4.88,4.75,4.25,4.0,4.38,0.0,0.12,0.0,3.88,4.0,3.62,3.75,2.75,4.62,4.25,4.38,3.25,1.5,1.25,4.25,3.62,1.62,2.0,5.0,0.0,4.75,3.0,3.88,4.38,3.88,3.88,3.25,4.38,0.62,4.5,Management Occupations,Other Management Occupations,Natural Sciences Managers,Natural Sciences Managers
11-9121.01,4.12,4.12,3.75,4.25,4.0,0.0,0.0,0.0,3.38,3.5,3.5,2.62,2.88,3.75,3.0,3.88,3.5,1.62,0.0,1.5,3.38,1.25,0.88,4.38,0.25,3.0,3.5,3.88,3.88,3.38,3.5,1.0,3.75,0.38,4.12,Management Occupations,Other Management Occupations,Natural Sciences Managers,Natural Sciences Managers
11-9121.02,3.75,3.88,3.88,3.25,4.0,0.0,0.5,0.0,3.38,3.88,3.25,2.75,2.5,3.12,3.75,3.75,3.12,2.75,2.38,2.38,3.5,1.5,3.0,4.12,0.0,3.0,3.12,3.5,4.0,4.12,4.12,1.88,3.62,1.88,4.0,Management Occupations,Other Management Occupations,Natural Sciences Managers,Natural Sciences Managers
11-9131.00,3.12,3.38,2.88,3.5,3.88,0.0,0.38,0.0,3.25,3.0,3.38,2.75,2.5,3.38,2.38,3.5,3.25,2.0,0.25,2.25,3.5,1.25,1.75,3.75,0.0,0.88,2.75,3.38,3.75,2.75,3.0,1.0,3.75,1.5,3.5,Management Occupations,Other Management Occupations,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents
11-9141.00,3.38,3.88,3.12,3.75,4.0,0.12,0.25,0.0,3.12,3.5,3.0,3.12,2.75,3.38,2.75,3.38,3.75,1.0,0.62,2.5,3.5,0.5,2.0,4.0,0.0,0.5,3.12,3.38,4.0,2.25,2.38,0.25,3.62,0.75,3.88,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers"
11-9151.00,4.12,4.5,4.0,4.38,4.25,0.0,0.0,0.0,4.0,4.25,4.12,4.12,3.25,4.5,3.5,4.5,3.75,1.88,1.62,3.62,3.88,1.25,1.75,4.38,0.0,2.88,4.12,4.75,4.38,4.0,4.25,0.88,4.38,0.0,4.38,Management Occupations,Other Management Occupations,Social and Community Service Managers,Social and Community Service Managers
11-9161.00,4.12,4.0,5.12,4.62,4.5,0.0,0.25,0.0,3.88,4.12,3.5,2.62,3.0,3.62,3.12,4.38,3.5,2.0,1.75,3.5,3.88,1.0,2.88,4.38,0.0,1.5,5.12,4.0,4.25,4.12,4.0,0.75,3.88,1.25,4.25,Management Occupations,Other Management Occupations,Emergency Management Directors,Emergency Management Directors
11-9199.01,3.62,4.0,3.38,4.0,4.12,0.0,0.0,0.0,3.38,3.75,3.25,2.0,2.0,3.75,2.5,3.88,3.5,1.12,0.38,3.75,3.25,0.5,0.25,4.12,0.0,2.38,3.0,3.62,4.0,3.5,3.62,0.5,3.62,0.0,4.0,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
11-9199.02,3.88,4.0,3.5,4.0,4.25,0.0,0.0,0.0,3.62,3.75,3.5,1.88,1.62,3.0,2.25,4.5,3.25,1.38,0.5,1.62,3.88,0.88,1.5,4.12,0.0,0.38,3.0,3.75,4.12,3.25,3.25,1.0,3.38,0.0,4.12,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
11-9199.03,3.88,4.12,3.88,3.12,4.0,0.0,0.0,0.0,2.88,4.25,3.12,3.0,2.12,3.38,3.62,4.0,3.5,1.5,0.0,1.62,3.5,1.12,0.75,4.25,0.0,0.0,3.0,3.38,4.12,3.75,3.75,1.38,3.88,0.0,3.88,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
11-9199.04,3.75,3.75,4.0,4.0,4.25,0.0,0.0,0.0,3.38,3.88,3.25,3.0,3.62,3.62,2.88,4.38,3.75,1.62,0.0,1.88,3.62,0.75,1.0,3.88,0.0,0.0,3.0,3.75,3.62,3.5,3.88,0.75,3.62,0.0,3.75,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
11-9199.07,3.38,3.75,3.75,3.88,4.0,0.25,1.0,0.12,3.38,3.62,3.25,3.38,3.12,3.38,2.62,3.75,3.12,2.12,2.25,2.25,3.62,1.12,3.12,4.12,0.0,0.88,3.38,3.75,4.0,3.25,3.5,1.38,3.62,1.75,3.88,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
11-9199.08,3.62,3.75,3.62,3.75,4.0,0.38,0.38,0.25,3.75,3.88,3.38,2.25,2.5,4.0,2.75,3.88,3.38,2.75,1.88,1.75,3.75,1.38,2.5,3.88,0.0,0.0,3.62,3.75,3.88,4.0,4.12,1.25,3.88,1.38,3.88,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
11-9199.11,3.62,3.88,4.12,4.38,4.12,0.0,1.12,0.0,3.25,3.75,3.0,3.62,3.25,3.5,3.75,4.0,3.75,2.62,1.75,3.12,3.62,1.0,2.88,4.38,0.0,2.75,3.12,3.12,4.12,3.5,3.62,2.12,3.75,1.75,4.25,Management Occupations,Other Management Occupations,Miscellaneous Managers,"Managers, All Other"
13-1011.00,3.12,3.75,2.88,3.5,3.75,0.0,0.0,0.0,2.75,3.75,2.75,2.0,1.5,3.0,2.0,3.5,4.0,0.88,0.88,2.0,4.12,0.62,0.0,3.88,0.0,0.5,3.5,3.25,3.88,2.38,2.38,0.5,3.38,0.0,3.5,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes"
13-1021.00,3.12,3.38,3.0,3.12,3.75,0.0,0.0,0.0,2.88,3.38,3.0,2.88,3.12,3.0,3.0,3.12,3.62,2.12,1.75,1.75,3.75,0.75,2.38,3.5,0.25,1.38,2.62,3.12,3.88,2.88,2.62,1.0,3.0,1.25,3.12,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents,"Buyers and Purchasing Agents, Farm Products"
13-1022.00,3.88,3.75,3.38,3.75,3.88,0.0,0.25,0.0,3.38,3.62,3.25,3.5,3.12,3.25,3.5,4.12,3.88,1.38,0.12,2.75,4.0,1.25,1.5,3.88,0.0,1.25,2.88,3.62,3.88,3.25,3.62,0.75,3.38,0.0,3.62,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents,"Wholesale and Retail Buyers, Except Farm Products"
13-1023.00,4.12,4.0,3.88,3.38,4.12,0.0,0.12,0.0,3.12,4.12,3.25,3.88,3.0,3.12,3.12,4.0,3.88,0.25,0.0,2.88,3.88,0.25,2.12,4.12,0.0,0.62,2.88,3.62,4.12,3.0,3.25,0.12,3.62,0.38,4.0,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1031.01,3.38,3.88,3.12,3.12,4.0,0.0,0.0,0.0,3.0,3.5,3.0,1.75,1.38,2.5,2.88,3.25,3.62,2.0,0.25,0.12,3.38,0.62,1.62,4.12,0.0,0.0,3.38,3.38,3.75,2.62,2.5,0.38,2.88,0.75,3.75,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators"
13-1031.02,3.38,4.12,3.0,3.12,4.25,0.0,0.0,0.0,1.88,3.62,2.12,2.88,1.88,2.0,3.38,2.88,3.75,1.62,0.12,2.12,3.0,1.12,2.0,4.12,0.0,0.62,3.0,3.12,4.0,2.38,2.25,0.62,3.0,1.62,3.75,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators"
13-1032.00,2.88,3.62,3.0,3.0,3.62,0.12,0.25,0.0,1.75,3.38,1.25,1.12,0.5,1.25,2.75,2.88,3.0,1.88,1.75,1.62,3.0,0.12,2.12,3.5,0.0,0.38,2.88,3.25,3.62,2.25,1.88,0.0,2.88,1.12,3.38,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators","Insurance Appraisers, Auto Damage"
13-1041.01,4.12,4.12,4.0,3.25,4.25,0.38,0.38,0.0,3.12,3.75,3.5,0.88,1.0,2.62,3.38,4.38,3.0,3.12,2.62,2.38,3.12,1.62,3.5,4.62,0.25,3.12,2.75,3.5,4.25,3.25,3.62,0.75,2.88,2.12,4.12,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Officers
13-1041.02,3.25,3.62,2.75,2.62,3.75,0.25,0.12,0.25,3.0,3.75,3.0,0.75,0.75,2.62,2.38,3.5,2.88,2.75,2.12,1.38,2.62,0.88,2.88,3.88,0.0,0.12,3.25,3.62,3.88,2.75,2.88,0.62,3.0,1.5,3.5,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Officers
13-1041.03,4.25,4.62,3.62,3.38,4.5,0.0,0.25,0.0,3.62,3.5,3.38,0.88,1.0,2.38,3.0,3.88,3.62,1.62,0.12,2.25,4.0,1.88,1.25,4.75,0.0,0.62,3.5,4.0,4.38,3.12,3.5,0.88,3.38,0.0,4.25,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Officers
13-1041.04,3.62,4.25,3.5,3.5,4.12,0.0,0.25,0.0,3.62,4.0,3.25,2.0,2.25,3.25,3.12,4.0,3.12,3.12,2.75,1.88,3.75,1.75,3.38,4.25,0.0,1.12,3.12,3.62,4.25,3.25,3.38,1.0,3.5,1.5,4.12,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Officers
13-1041.06,3.75,4.12,3.25,3.38,4.12,0.0,0.75,0.0,3.38,3.62,3.38,1.38,1.5,3.25,2.38,3.62,2.88,2.0,2.25,1.25,3.0,0.88,1.75,4.12,0.0,3.88,3.25,4.12,4.25,2.62,2.38,1.0,3.38,0.88,4.0,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Officers
13-1041.07,3.75,3.88,3.62,4.12,4.38,0.0,0.0,0.0,3.38,4.38,3.12,1.5,1.38,2.75,3.12,3.62,3.25,1.88,0.0,2.62,3.88,1.62,2.12,4.5,0.0,1.12,3.0,3.12,4.38,4.25,3.88,1.0,3.12,0.0,4.25,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,Compliance Officers
13-1051.00,4.0,4.25,3.88,3.5,4.25,0.0,0.0,0.0,2.62,3.38,2.88,4.0,3.12,2.75,4.12,3.75,3.25,1.75,0.38,2.5,3.75,1.75,0.88,4.25,0.0,1.25,2.62,3.25,3.88,3.5,3.12,1.12,3.25,0.0,3.88,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,Cost Estimators
13-1071.00,3.25,4.12,3.12,3.62,4.0,0.0,0.12,0.0,3.12,3.25,3.12,0.75,1.25,3.0,2.25,3.75,3.12,0.75,0.38,0.62,3.12,0.88,1.12,4.12,0.0,0.25,3.38,3.88,4.0,2.75,2.88,0.62,3.0,0.0,3.88,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers,Human Resources Specialists
13-1074.00,2.38,3.12,2.75,3.38,3.25,0.0,0.25,0.0,2.88,2.75,2.12,1.88,1.62,3.38,2.12,2.62,3.0,2.38,2.38,0.5,2.88,0.5,1.38,2.88,0.0,0.38,2.62,3.0,3.38,2.0,1.62,0.0,3.38,1.12,2.75,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers,Farm Labor Contractors
13-1081.00,3.38,3.88,3.88,4.38,4.25,0.0,0.0,0.0,3.38,3.62,3.25,2.0,2.12,3.88,3.25,4.5,3.62,2.0,0.62,4.0,3.88,2.0,2.25,4.0,0.0,1.38,3.88,3.62,3.88,3.62,3.62,0.88,3.75,0.12,3.88,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians,Logisticians
13-1081.01,4.0,4.12,3.88,3.62,4.12,2.12,2.88,0.0,3.25,3.88,3.62,2.75,3.0,3.5,4.0,3.62,3.0,3.12,1.25,3.5,3.0,2.38,2.88,4.38,2.12,2.62,3.25,3.5,4.0,4.12,4.12,2.38,3.88,2.75,4.12,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians,Logisticians
13-1081.02,4.0,3.5,3.75,3.12,4.0,0.0,0.62,0.0,2.88,3.88,3.25,2.5,2.38,2.62,4.25,4.0,2.62,2.12,0.38,2.5,3.25,1.88,2.75,4.38,0.0,0.88,2.62,2.88,3.38,3.88,3.75,2.0,3.12,1.38,3.75,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians,Logisticians
